Bloco;Parcela;Faixa;Arvore;Fuste;Código;;X;Y;Familia;Nome_Cientifico;Nome_comum;CAP_2002;CAP_2005;CAP_2008;CAP_2011;CAP_2014;CAP_2017;CAP_2020;CAP_2026;HC;anoHC;HT;anoHT;Fuste;Estrato;Fitossanidade;Pos;Forma;Ano_Ingresso;info_Morta;Ano_Morta;Observacoes
1;1;3;58;1;0;FALSO;23.7;73;Meliaceae;Cedrela fissilis Vell.;Cedro;35.5;36.4;36.4;36.6;36.6;36.6;36.6;38;0;;0;;1;1;3;2;3;2002;0;;
1;1;3;59;1;0;FALSO;20.5;72.3;Styracaceae;Styrax leprosus Hook. & Arn.;Canela-raposa;41;49.1;55;58.3;63.9;67.8;73.5;82.5;0;;0;;2;2;2;2;3;2002;0;;
1;1;3;60;1;0;FALSO;28.5;69.7;Rubiaceae;Coussarea contracta (Walp.) Müll.Arg.;Cinzeiro-preto;40;44;45.5;46.1;47.1;47.9;50.3;53.1;0;;0;;3;1;3;2;3;2002;0;;
1;1;3;61;1;0;FALSO;22.5;74.8;Lauraceae;Nectandra grandiflora Nees & Mart;Canela-amarela;59;64.4;66.5;67;69.5;71.8;74.1;76.1;0;;0;;1;2;3;3;4;2002;0;;
1;1;3;62;1;0;FALSO;24;76;Lauraceae;Aiouea sellowiana (Nees & Mart.) R.Rohde;Canela-branca;86.5;91;93.5;96;103;107.1;109.5;114.5;0;;0;;3;3;3;4;4;2002;0;;
1;1;3;63;1;0;FALSO;23;76.6;Lauraceae;Ocotea porosa (Nees & Mart.) Barroso;Imbuia;45;50.8;54;57;63;67;73.5;81.6;0;;0;;2;1;3;2;3;2002;0;;
1;1;3;64;1;0;FALSO;25.5;79;Lauraceae;Aiouea amoena (Nees & Mart.) R.Rohde;Canela-alho;38;38.2;38.2;;;;;;;;;;2;1;1;0;0;2002;1;2011;
1;1;3;65;1;0;FALSO;29;79.2;Myrtaceae;Eugenia involucrata DC.;Cerejeira;46;47.7;49;49;50.1;51.5;52.7;54.5;0;;0;;3;1;3;3;3;2002;0;;
1;1;3;66;1;0;FALSO;29;80;Styracaceae;Styrax leprosus Hook. & Arn.;Canela-raposa;42;42;43;43;43.4;43.5;43.5;;0;;0;;1;1;3;2;2;2002;1;2026;
1;1;3;67;1;0;FALSO;29.9;78.7;Lauraceae;Nectandra grandiflora Nees & Mart;Canela-amarela;53.5;59.4;61;61.5;64.2;67.4;69.9;73.3;0;;0;;2;1;3;2;2;2002;0;;
1;1;3;68;1;0;FALSO;22;80.3;Sapotaceae;Chloroluma gonocarpa (Mart. & Eichler ex Miq.) Baill. ex Aubrév.;Guatambu;62;66.3;67;69;71.5;73.5;75.3;80.5;0;;0;;2;2;3;2;2;2002;0;;
1;1;3;69;1;0;FALSO;22.2;83.2;Arecaceae;Syagrus romanzoffiana (Cham.) Glassman;Palmeira;74;74.4;74.9;74.9;75.1;75.3;75.3;74.9;0;;0;;3;2;3;3;4;2002;0;;
1;1;3;70;1;0;FALSO;28.5;84;Aquifoliaceae;Ilex paraguariensis A.St.-Hil.;Erva-mate;46.5;48.4;49;50;54.1;57;59.3;65.2;0;;0;;3;2;3;2;2;2002;0;;
1;1;3;71;1;0;FALSO;28.8;84.2;Rosaceae;Prunus myrtifolia (L.) Urb.;Pessegueiro-bravo;72;79;79;79.4;79.9;;;;;;;;3;2;3;2;3;2002;1;2017;
1;1;3;72;1;0;FALSO;28;89;Aquifoliaceae;Ilex paraguariensis A.St.-Hil.;Erva-mate;50;53.5;54;55;58.5;60;61.8;68.8;0;;0;;2;1;3;2;2;2002;0;;
1;1;3;73;1;0;FALSO;25;89.5;Araucariaceae;Araucaria angustifolia (Bertol.) Kuntze;Araucária;194;199.4;200;202;202;202;204;213.1;0;;0;;3;3;3;5;5;2002;0;;
1;1;3;74;1;0;FALSO;21.6;86.8;Elaeocarpaceae;Sloanea hirsuta (Schott) Planch. ex Benth.;Sapopema;54;58.4;60.4;61.2;61.9;61.9;63.2;63.3;0;;0;;2;1;3;2;3;2002;0;;
1;1;3;75;1;0;FALSO;27.5;91;Salicaceae;Casearia decandra Jacq.;Guaçatunga-branca;35.5;39;40.8;42;44.6;45.8;47.5;49;0;;0;;3;1;3;2;4;2002;0;;
1;1;3;76;1;0;FALSO;26;98.5;Lauraceae;Ocotea indecora (Schott) Mez;Canela-preta;106;108;109.5;110.4;111;112.5;115.7;116.8;0;;0;;3;2;3;3;4;2002;0;;
1;1;3;77;1;0;FALSO;26;99;Sapindaceae;Allophylus edulis (A.St.-Hil. et al.) Hieron. ex Niederl.;Vacum-de-folha-graúda;38.5;43;46.8;48.2;52.6;56.2;62.3;66.1;0;;0;;2;1;2;2;4;2002;0;;
1;1;3;78;1;0;FALSO;20;98.7;Araucariaceae;Araucaria angustifolia (Bertol.) Kuntze;Araucária;52;53.8;56;58;61.5;62.3;64.1;67.1;0;;0;;2;2;2;2;2;2002;0;;
1;1;3;572;1;0;FALSO;22;51;Meliaceae;Cedrela fissilis Vell.;Cedro;;34.9;35;34.5;35;35.9;34.4;34.6;0;;0;;2;1;3;2;3;2005;0;;
1;1;3;573;1;0;FALSO;28;52;Styracaceae;Styrax leprosus Hook. & Arn.;Canela-raposa;;31.9;32.4;33.2;34;34.1;34.5;;0;;0;;2;1;3;2;2;2005;1;2026;
1;1;3;574;1;0;FALSO;28;64.4;Sapindaceae;Matayba elaeagnoides Radlk.;Miguel-pintado;;36.3;37.5;39.5;42.6;44.6;47.6;60.2;0;;0;;1;2;3;3;3;2005;0;;
1;1;3;575;1;0;FALSO;22.5;94.9;Myrtaceae;Curitiba prismatica (D.Legrand) Salywon & Landrum;Murteira;;33.5;35.2;38.3;41;41.5;45.9;48;0;;0;;2;1;3;1;3;2005;0;;
1;1;3;622;1;0;FALSO;29;72;Salicaceae;Casearia decandra Jacq.;Guaçatunga-branca;;;32;32;32;32;;;;;;;3;1;1;1;1;2008;1;2020;
1;1;3;653;1;0;FALSO;29.5;98.4;Myrtaceae;Myrciaria floribunda (H.West ex Willd.) O.Berg;Cambuí;;;;31.7;31.7;35.7;37.5;40.5;0;;0;;2;1;3;2;5;2011;0;;
1;1;3;654;1;1;FALSO;26;90;Lauraceae;Nectandra megapotamica (Spreng.) Mez;Canela-imbuia;;;;31.5;32.5;32.5;32.7;33.4;0;;0;;2;3;3;2;3;2011;0;;
1;1;3;706;1;0;FALSO;24;79.7;Primulaceae;Myrsine umbellata Mart.;Capororocão;;;;;33.5;36;40.6;47.1;0;;0;;2;2;3;3;4;2014;0;;
1;1;3;707;1;0;FALSO;23;91.5;Fabaceae;Machaerium stipitatum Vogel;Sapuva;;;;;32.9;35.6;36;38.8;0;;0;;2;2;3;3;4;2014;0;;
1;1;3;708;1;0;FALSO;22.5;93.8;Rubiaceae;Rudgea jasminoides (Cham.) Müll.Arg.;Véu-de-noiva;;;;;32.3;33.4;35.4;37.3;0;;0;;2;1;3;3;4;2014;0;;
